,iteration,alive_cells,silent_cells,dead_cells,number_of_artery_giving_oxygen,volume,prolif_cells,t,curement
140,14000,208625,1533242,4.3173131872233625,29821,5.11052,49.18624391334845,58.333333333333336,0.9999997619198528
141,14100,171509,1483019,4.297344323609243,29821,5.10179,46.71998522599818,58.75,0.9706771107956247
142,14200,140938,1414809,4.275608552119156,29851,5.11254,43.93062996208232,59.166666666666664,0.9422131602003596
143,14300,115017,1338930,4.252666795888328,29851,5.14116,41.05602486731071,59.583333333333336,0.9145838698657093
144,14400,96756,1258463,4.225405931516244,29884,5.15898,38.26816620526149,60.0,0.8877651995233258
145,14500,82862,1181878,4.189983635526592,29884,5.16976,35.71324091675618,60.416666666666664,0.8617331116891745
146,14600,72669,1114633,4.1523176469960275,29884,5.14116,33.526564400754964,60.833333333333336,0.8364641590937331
147,14700,65096,1051373,4.108986334799659,29901,5.14116,31.526398362661084,61.25,0.8119362112844786
148,14800,58363,989782,4.06582329954386,29901,5.15898,29.597080892178024,61.666666666666664,0.7881274354107104
149,14900,52353,929955,4.020725079471523,29920,5.15898,27.737990758342285,62.083333333333336,0.7650168812793599
150,15000,46584,870094,3.971840628236398,29920,5.18755,25.884745843117724,62.5,0.7425840098941127
151,15100,41566,809593,3.9240499771149664,29920,5.18755,24.034635320481758,62.916666666666664,0.720808890384949
152,15200,36990,750116,3.8760349567394443,29931,5.16976,22.225921370232193,63.333333333333336,0.6996723794190324
153,15300,32910,692918,3.8302636289048344,29931,5.18052,20.49556723469767,63.75,0.6791555980276563
154,15400,29212,640513,3.7860348396921015,29934,5.21612,18.911343564442546,64.16666666666667,0.6592405141552317
155,15500,25985,593115,3.736673603792031,29934,5.21612,17.481806404100574,64.58333333333333,0.6399093532911231
156,15600,23130,550269,3.6846479829996293,29934,5.21612,16.19131202849982,65.0,0.6211450265321896
157,15700,20814,511627,3.6270131308549454,29934,5.21612,15.034749401076875,65.41666666666667,0.6029309742302467
158,15800,18985,477731,3.570808632705093,29934,5.23383,14.025955029655307,65.83333333333333,0.5852509649004858
159,15900,17297,448927,3.5146882730255258,29933,5.24468,13.164928914235114,66.25,0.5680894689295494
160,16000,15654,424134,3.458539867189196,29933,5.24468,12.418435198268686,66.66666666666667,0.5514311435058384
161,16100,14351,403640,3.400119722655193,29929,5.24468,11.802936502288954,67.08333333333333,0.5352613245286308
162,16200,13793,389739,3.3432982090565906,29929,5.24468,11.394646570409753,67.5,0.5195656626065867
163,16300,14073,381150,3.286757157025602,29929,5.26237,11.160018930601725,67.91666666666667,0.5043302185725884
164,16400,14987,377212,3.2303563357784197,29921,5.26237,11.07462791089063,68.33333333333333,0.4895415842803502
165,16500,16711,377072,3.172581252849929,29921,5.26237,11.119356540263109,68.75,0.47518654085539114
166,16600,19147,379310,3.118396077986898,29916,5.27323,11.251339882237199,69.16666666666667,0.4612524845441282
167,16700,22327,383247,3.0591906410635765,29916,5.27323,11.452308098931596,69.58333333333333,0.4477269962879074
168,16800,26079,388704,2.9948247112961557,29910,5.27323,11.71234973270126,70.0,0.4345981196442203
169,16900,30387,394970,2.9320013201506128,29910,5.2909,12.010935923979401,70.41666666666667,0.4218542553508405
170,17000,34757,402241,2.8681402212048974,29910,5.2909,12.339651816987617,70.83333333333333,0.40948403905215236
171,17100,38708,410355,2.8039145222212847,29903,5.2909,12.680340524928868,71.25,0.397476610051548
172,17200,42237,419391,2.741343546486594,29903,5.2909,13.035148118404363,71.66666666666667,0.3858212390352733
173,17300,45554,428793,2.675070478059398,29893,5.2909,13.394304328624404,72.08333333333333,0.3745076640328954
174,17400,48537,438559,2.6003835626037817,29893,5.2909,13.754307671976498,72.5,0.3635258399947733
175,17500,51141,448349,2.5200593696391227,29893,5.30177,14.104286606599281,72.91666666666667,0.3528660128852971
176,17600,53551,458254,2.442231284626229,29881,5.28,14.452034757307652,73.33333333333333,0.34251880541510393
177,17700,55894,467879,2.365889645921689,29881,5.28,14.78998440145526,73.75,0.3324749720169659
178,17800,57943,477924,2.2910064073687426,29875,5.29757,15.131492004757499,74.16666666666667,0.3227256932908222
179,17900,59865,487707,2.218983876805459,29875,5.29757,15.462015115114097,74.58333333333333,0.31326227811871404
180,18000,61620,497093,2.147017438555699,29873,5.29757,15.776612122588071,75.0,0.3040763607101009
